id,host_response_rate,review_scores_rating
4788218,75%,4.75
4788620,75%,4.75
4795607,100%,4.4
4810516,100%,4.7
4822178,,4.76
4824458,0%,5.0
4824623,100%,3.83
4825297,,4.46
4834313,,
4837557,0%,4.5
4842227,100%,4.77
4842318,0%,4.0
4857224,91%,4.57
4857716,97%,4.79
4857894,97%,4.71
4863511,100%,4.68
4863603,100%,4.73
4863649,100%,4.84
4863676,100%,4.88
4863748,100%,4.68
4863919,100%,4.75
4864132,100%,4.77
4867283,0%,4.31
4869033,,
4876321,,4.53
4882209,0%,5.0
4882226,0%,4.2
4891424,100%,4.8
4899294,100%,4.96
4913247,100%,4.91
4917909,,4.0
4928854,100%,4.69
4939738,100%,4.81
4943144,100%,4.86
4950343,100%,4.86
4958315,,
4964691,100%,4.97
4978939,67%,4.26
4998690,,4.0
4999454,,4.33
5005532,,
5007513,100%,4.81
5014309,100%,4.77
5016119,,
5016431,100%,4.67
5030747,100%,5.0
5031445,100%,4.84
5032147,,4.6
5042327,100%,4.82
5071188,90%,4.67
5071486,,4.5
5071615,,4.64
5074762,100%,4.92
5081704,,
5088387,80%,4.67
5095164,100%,4.14
5106193,,4.4
5106339,,5.0
5106424,,5.0
5110772,,
5119575,100%,5.0
5140054,,
5148753,83%,5.0
5149083,,
5165540,68%,4.68
5165803,50%,
5170712,,
5171608,,4.5
5176826,,
5185275,,4.67
5185596,100%,4.0
5187286,,
5208464,100%,5.0
5224799,,
5234247,,5.0
5241878,100%,4.77
5242192,93%,4.55
5242781,93%,4.45
5243902,,
5268025,,5.0
5274007,,4.63
5289887,100%,4.82
5299833,,
5302471,,
5303152,,4.5
5309746,,4.0
5330089,,
5330188,,
5331758,,
5347665,100%,4.88
5355580,100%,4.33
5358272,100%,4.62
5366718,100%,4.77
5377794,100%,5.0
5380106,,4.6
5418981,100%,4.7
5425967,100%,4.91
5446612,0%,
5474276,0%,
5474542,100%,4.48
5475798,100%,4.81
5480774,100%,4.81
5485716,,4.38
5492684,100%,4.94
5500184,0%,
5515087,,5.0
5519229,100%,4.98
5520389,100%,4.69
5554228,,
5558085,100%,4.48
5582531,100%,4.0
5582750,100%,4.88
5583229,100%,4.17
5583807,100%,4.75
5584020,100%,4.93
5594210,100%,4.82
5594628,100%,4.88
5595161,100%,5.0
5596377,,
5620403,100%,4.87
5641625,,4.74
5652490,0%,5.0
5672952,,
5673081,0%,4.62
5675191,89%,4.72
5675192,89%,4.79
5678619,,5.0
5686783,100%,4.71
5688189,,
5709620,100%,4.87
5714918,,4.68
5722198,100%,4.75
5727012,,4.71
5739798,100%,4.86
5741418,,
5750284,,4.0
5751100,,5.0
5775602,90%,4.9
5776523,100%,5.0
5791408,,4.93
5792093,,4.0
5816118,100%,4.96
5838604,100%,4.83
5839790,,4.0
5840149,,
5876928,100%,4.5
5877305,100%,4.75
5883932,,
5885757,,4.91
5889527,,
5893230,100%,4.79
5907524,,4.43
5907755,100%,4.55
5907871,100%,4.7
5908165,,4.33
5920464,100%,4.67
5922131,80%,4.87
5924195,100%,4.86
5935106,,5.0
5935448,,
5949408,,
5950270,0%,
5952398,100%,4.63
5958375,0%,
5962480,100%,4.68
5964843,0%,4.8
5969642,100%,4.96
5970662,0%,
5970749,,4.45
5971468,93%,4.27
5972413,100%,4.73
5980828,,
5982649,89%,4.78
5982999,100%,4.81
5994999,100%,4.8
6013487,0%,4.85
6033632,0%,4.83
6033826,0%,4.78
6047102,,
6047170,,
6057511,100%,4.71
6067815,,5.0
6072196,,
6081478,,
6094179,,
6097521,,
6107970,100%,4.0
6109353,,4.38
6116506,100%,4.83
6147063,93%,4.68
6148849,100%,4.4
6157468,89%,5.0
6157864,,4.38
6159231,0%,4.94
6159649,100%,5.0
6160053,100%,4.38
6160218,100%,4.22
6160332,100%,4.44
6164354,100%,4.73
6171215,100%,5.0
6203307,0%,
6233065,100%,4.53
6239775,100%,4.84
6250200,100%,4.86
6250737,,
6277718,,
6278178,100%,4.72
6292550,100%,4.82
6305340,96%,4.84
6312629,100%,4.94
6329764,100%,4.95
6329891,,
6329896,100%,4.88
6329932,,
6338002,,
6363567,90%,4.67
6390730,80%,5.0
6394120,0%,4.5
6398846,100%,4.84
6399603,,4.5
6400420,,
6405471,,
6416190,,4.52
6425825,70%,4.04
6426118,100%,4.7
6426342,,
6453645,0%,4.0
6481230,,
6485868,95%,4.59
6489423,100%,4.8
6506468,,4.5
6506526,,4.89
6506565,,4.5
6508765,100%,
6546174,,
6574083,,4.85
6584716,100%,4.64
6593282,100%,4.37
6594292,100%,4.7
6608641,100%,5.0
6610084,,
6615269,100%,4.87
6616347,,4.64
6616352,100%,4.96
6619488,100%,4.83
6630855,80%,4.59
6653977,100%,4.75
6662100,,
6667267,,4.9
6676058,,
6696263,95%,4.33
6696768,95%,4.67
6702391,100%,4.76
6704833,,5.0
6723842,100%,4.89
6733844,100%,4.6
6734411,91%,4.74
6741841,100%,4.83
6752440,33%,4.64
6753043,100%,4.87
6754431,100%,4.6
6760641,,
6768017,,
6768045,100%,4.7
6769490,,
6772845,100%,4.58
6773889,100%,4.92
6776803,,
6778111,,4.67
6788707,100%,4.77
6789012,100%,4.72
6791771,,
6802330,,4.0
6802390,,4.0
6846631,100%,4.58
6846880,54%,4.65
6847494,,
6848651,54%,4.65
6849277,54%,4.76
6849637,54%,4.54
6855235,,
6855242,100%,5.0
6859183,,
6873649,100%,4.75
6873744,100%,3.67
6874847,,
6874853,100%,5.0
6887803,,4.2
6902941,,4.44
6918003,100%,4.82
6928812,100%,4.72
6948269,100%,4.61
6959652,0%,
6962401,100%,4.89
6982162,100%,5.0
6984014,100%,5.0
6995860,95%,4.0
6996390,0%,4.64
6996753,95%,4.31
6997272,100%,4.73
7010232,,5.0
7014697,100%,4.64
7020890,90%,5.0
7026546,95%,
7026577,95%,
7026735,95%,5.0
7026762,95%,
7026775,95%,
7026791,95%,
7026805,95%,4.57
7026838,95%,5.0
7026897,95%,1.0
7026923,95%,5.0
7026946,95%,4.67
7027106,95%,5.0
7027127,95%,
7027154,95%,
7027186,95%,4.0
7027190,95%,4.12
7027198,95%,5.0
7027202,95%,
7027207,95%,5.0
7039994,0%,5.0
7041002,93%,4.75
7041159,,4.86
7054739,95%,
7054798,95%,4.0
7054800,95%,
7054908,95%,
7054938,95%,
7054962,95%,
7055005,95%,4.36
7055074,95%,
7055114,95%,4.25
7055140,95%,
7055175,95%,4.0
7063763,100%,4.86
7073996,,
7076378,100%,4.74
7078294,100%,4.63
7081827,100%,4.25
7115674,100%,4.76
7118852,100%,4.63
7143355,100%,4.73
7153111,,
7170238,,
7172790,100%,4.8
7191023,,5.0
7211855,100%,4.93
7234073,67%,4.39
7247503,100%,4.76
7247612,100%,4.77
7247963,100%,4.75
7250058,,
7250614,,
7270769,100%,4.88
7281268,,
7282157,,
7283684,,5.0
7295447,100%,4.56
7332377,100%,4.89
7332633,,
7341294,100%,4.72
7341310,100%,4.66
7351289,,4.88
7391651,100%,4.88
7398876,,
7400025,60%,
7408129,,
7412319,100%,4.92
7423504,100%,4.15
7423572,,5.0
7423808,,
7424197,100%,4.33
7424353,100%,4.54
7429682,100%,
7443397,,
7453764,,
7453768,,5.0
7471071,100%,4.9
7485386,,
7489678,,
7500734,100%,4.79
7505492,,
7518785,,4.92
7527513,100%,
7527620,100%,4.93
7536072,,4.65
7536502,,4.71
7537579,100%,4.88
7537716,100%,4.95
7550675,,4.0
7551159,100%,4.0
7560373,90%,4.6
7566787,,
7573007,90%,4.46
7574772,75%,4.96
7585100,100%,4.47
7585968,67%,4.83
7588646,,5.0
7604623,,
7607302,,4.38
7623512,100%,4.57
7624300,100%,4.67
7625178,,
7631853,100%,4.79
7639836,100%,4.51
7647763,50%,5.0
7658017,,
7664777,100%,4.94
7666278,,4.0
7680539,,4.84
7691102,100%,4.78
7702228,100%,4.67
7708975,,
7719234,,
7736302,,5.0
7736615,100%,4.66
7737757,,4.38
7749792,,
7751583,,
7764129,82%,4.57
7769083,,
7777209,100%,4.83
7777619,100%,4.84
7777642,100%,4.87
7777667,0%,
7777689,100%,4.83
7778477,,
7778861,,4.26
7784184,,
7790969,100%,4.62
7794268,,
7797054,,
7804568,100%,4.75
7810607,0%,4.75
7821555,,
7826669,100%,4.77
7836335,100%,4.71
7836927,100%,4.61
7846303,,
7846540,,5.0
7862379,100%,3.0
7862880,100%,4.75
7863978,,4.33
7864274,80%,4.72
7876617,100%,4.54
7876696,,
7876711,,
7880582,100%,4.89
7886584,,4.87
7887684,100%,4.97
7890585,,
7890624,,
7938199,,
7963242,100%,4.81
7974349,100%,4.65
7974518,,5.0
7990063,95%,4.9
8005569,,4.82
8054683,100%,4.38
8064765,100%,4.67
8065745,100%,4.87
8076747,,
8081289,,
8095737,,4.36
8100141,95%,4.93
8109763,,4.91
8120571,,
8124980,,4.79
8132965,,
8136447,100%,4.8
8143524,100%,4.76
8156806,100%,4.89
8173911,,4.4
8176753,100%,4.65
8205765,,4.78
8213175,,
8214376,,
8228104,,
8228442,100%,4.92
8232526,99%,4.39
8242967,100%,4.75
8257348,,
8257392,100%,4.74
8258847,100%,4.8
8261747,100%,4.81
8265901,,4.6
8287542,,
8294848,,5.0
8296785,100%,4.8
8332275,100%,4.61
8334330,100%,4.66
8345117,,3.0
8356067,,
8356897,100%,
8358140,94%,4.8
8358775,,
8373781,90%,4.43
8374809,,
8375055,,
8375136,,
8392375,,5.0
8412169,100%,4.59
8412368,,4.55
8427136,,4.64
8427141,,4.41
8428840,100%,4.95
8430430,,
8431617,,
8433088,,3.67
8440174,,5.0
8446229,,4.0
8450835,,5.0
8452748,,
8455892,100%,
8457568,90%,4.94
8461094,,
8461188,100%,4.88
8465264,,
8469530,90%,4.83
8474983,100%,4.46
8476708,,
8477107,,5.0
8480649,,
8507929,100%,4.92
8509674,,
8514525,100%,4.5
8525403,100%,4.76
8526022,,
8526904,100%,4.74
8528401,,4.9
8530277,,
8549809,100%,4.79
8571342,,4.57
8581725,,5.0
8583394,100%,4.55
8583753,100%,4.82
8594331,,4.4
8596532,,
8616187,96%,4.87
8616643,100%,4.7
8627406,67%,4.71
8637714,,
8640950,100%,4.87
8647630,100%,4.75
8653574,100%,4.78
8654051,100%,4.81
8673855,,
8675161,100%,4.72
8676857,100%,5.0
8679433,,
8683600,,4.4
8690770,,
8697039,,
8697877,100%,4.5
8703776,100%,4.77
8715509,,4.78
8722091,100%,4.86
8731520,100%,4.66
8732425,,4.72
8743015,100%,4.69
8746112,,
8747993,,
8759900,,
8766635,,4.0
8769212,100%,4.93
8783124,100%,4.86
8783962,100%,5.0
8785499,,
8792375,100%,4.89
8801560,94%,4.57
8802895,0%,5.0
8803136,90%,
8803170,90%,
8803789,94%,4.82
8804583,100%,4.67
8810615,,
8818555,100%,5.0
8832107,100%,4.83
8850699,83%,4.32
8855331,,
8869617,100%,4.8
8870946,,
8875113,,
8880974,0%,4.82
8892819,,5.0
8910893,,
8931548,100%,4.88
8932989,100%,
8934699,100%,
8941130,80%,4.83
8944285,,4.67
8957682,90%,4.86
8975439,100%,4.4
8976962,100%,4.58
8977276,100%,4.65
8993250,100%,4.82
8994717,100%,4.5
8995993,,
9008384,100%,4.51
9012311,100%,4.79
9033067,100%,4.91
9036479,,
9036578,,5.0
9051639,,
9052577,,5.0
9052825,100%,4.84
9053892,,
9060067,,
9060181,,
9066964,88%,4.22
9075590,100%,4.99
9080092,100%,4.0
9080145,100%,4.86
9080633,,
9080937,80%,4.66
9096300,100%,5.0
9118133,,
9118829,,4.33
9120644,,
9126871,,
9138110,100%,
9138860,,4.6
9142346,100%,4.73
9143764,100%,4.97
9145078,100%,4.95
9156356,,
9162590,,
9176480,100%,4.78
9176702,100%,5.0
9203881,,
9204676,100%,4.93
9210468,,4.0
9211436,100%,4.82
9220087,,4.29
9220439,,
9221364,100%,4.88
9238937,100%,4.8
9240476,,
9241938,100%,4.6
9243710,100%,4.86
9244540,100%,4.75
9265221,100%,4.44
9271357,100%,4.0
9283994,,4.5
9285303,100%,4.65
9286334,100%,4.78
9286547,100%,4.37
9288596,0%,4.78
9290157,100%,4.8
9306472,100%,4.73
9322134,,
9326262,100%,4.88
9332956,100%,4.97
9335336,88%,4.73
9344041,23%,4.7
9351994,,
9369729,0%,
9394543,100%,4.87
9403406,100%,4.49
9416548,,4.22
9419661,,5.0
9420513,,
9422151,,4.33
9435194,,
9453616,100%,4.91
9453790,100%,4.89
9458258,100%,4.73
9458457,80%,5.0
9464686,,5.0
9465632,,
9466201,,4.64
9466461,100%,4.86
9466937,100%,
9468871,100%,4.9
9478910,,
9479109,100%,4.67
9479689,0%,5.0
9488085,100%,4.79
9501677,100%,4.95
9502628,100%,4.93
9515026,100%,4.81
9517341,,
9517589,,
9517779,,
9518506,,
9519042,,
9534223,100%,4.89
9534453,,4.5
9537768,100%,4.85
9540612,100%,4.87
9541852,,
9542583,,5.0
9550352,100%,4.62
9580135,,4.0
9581470,100%,4.95
9581593,,
9581611,100%,4.93
9582947,,4.6
9587125,100%,4.88
9595246,,4.0
9600700,100%,5.0
9612801,0%,
9616548,100%,5.0
9617793,,
9617839,,4.5
9618414,,5.0
9619436,,
9637302,,4.73
9637430,,
9647994,100%,4.82
9657035,,4.75
9662807,100%,4.77
9666312,100%,4.79
9668822,100%,4.25
9669042,100%,4.27
9670783,,
9670821,,4.0
9676815,,
9678113,,4.92
9686442,100%,
9687520,,
9700484,0%,
9700488,100%,4.5
9700843,100%,3.0
9701091,100%,4.0
9708142,0%,
9718460,,
9718785,,4.53
9719938,100%,4.48
9720990,100%,5.0
9721858,100%,4.78
9725828,100%,4.84
9737667,,4.88
9738573,90%,4.8
9766252,100%,4.81
9779346,100%,4.25
9780896,,
9781435,100%,4.88
9786949,90%,4.62
9796666,,4.25
9800350,100%,4.6
9800543,100%,4.75
9802951,100%,5.0
9815456,,
9818770,100%,4.67
9835713,100%,4.38
9836067,100%,4.46
9836503,100%,4.56
9845391,100%,4.71
9848406,100%,4.56
9849435,0%,4.87
9849887,0%,4.86
9853613,,4.81
9857294,100%,4.64
9867568,,
9868864,,
9869583,100%,4.56
9872492,,
9886497,100%,4.9
9889289,,4.7
9890452,,
9910871,100%,4.91
9911548,,4.93
9912499,100%,4.71
9917169,100%,4.79
9933807,20%,4.67
9934104,,5.0
9935108,100%,4.86
9935356,,4.5
9935839,100%,4.43
9944024,,4.67
9972544,67%,4.78
9980246,100%,4.75
9980472,,
9980491,,4.63
9980926,100%,
9988874,,4.37
9999946,,
10000720,100%,4.9
10008160,,
10008444,,3.0
10011621,,4.0
10028375,,
10061342,100%,4.62
10076441,60%,
10089119,,
10090404,100%,4.09
10106578,,4.5
10109234,100%,4.63
10111765,90%,3.0
10125869,,
10144418,100%,4.84
10145423,100%,4.82
10145690,100%,4.85
10146989,100%,4.83
10151931,,
10166801,100%,4.0
10171057,,
10178745,100%,4.06
10179988,100%,
10180198,,
10182742,100%,4.87
10185420,,4.46
10194088,100%,4.9
10200239,,
10215697,,
10216716,,
10216761,100%,4.75
10218728,33%,4.62
10234089,100%,4.72
10245086,100%,4.93
10262184,100%,4.64
10264628,100%,4.86
10264791,,5.0
10276793,100%,4.71
10285589,,
10299734,,5.0
10306737,,
10309373,100%,4.83
10320053,,4.0
10324572,,
10369410,,4.39
10369527,100%,
10369618,,
10370766,,4.69
10376342,,
10381495,100%,4.88
10395269,100%,4.81
10395706,,
10417660,100%,4.86
10460554,100%,
10461328,100%,4.7
10480233,83%,4.75
10481113,,
10481353,,4.97
10487501,100%,4.79
10500566,96%,4.92
10504942,100%,
10511711,90%,4.59
10512386,100%,4.65
10514530,100%,4.9
10529822,,
10575834,,4.29
10577712,,4.86
10578553,,4.83
10587908,100%,4.8
10601222,,
10601342,,
10603500,100%,4.42
10616729,50%,4.45
10624983,100%,4.25
10629398,100%,4.71
10629515,,5.0
10636958,100%,4.73
10637249,100%,4.85
10637967,,
10649844,100%,4.76
10661695,100%,4.8
10663980,100%,4.89
10670207,,5.0
10671030,,
10685771,,
10692058,100%,4.88
10694803,100%,4.5
10706913,90%,4.71
10708042,100%,4.67
10708902,100%,4.85
10708996,100%,5.0
10709131,,4.77
10712227,100%,4.62
10713446,,
10734193,0%,
10740411,100%,4.75
10740502,,
10780464,100%,4.7
10792666,100%,5.0
10795653,100%,
10810120,100%,5.0
10810134,100%,
10812219,100%,4.86
10825247,100%,4.62
10842493,100%,4.33
10864783,,
10891357,100%,4.57
10911055,90%,4.53
10914042,100%,4.56
10914744,90%,4.44
10932979,100%,4.62
10934346,80%,3.0
10934702,80%,3.71
10935422,100%,5.0
10949033,70%,4.63
10958141,,4.5
10960478,0%,5.0
10973926,,
10975245,91%,4.89
11008291,100%,4.48
11034218,,
11044061,,4.0
11058808,23%,4.35
11060488,,
11079142,,
11105435,100%,4.71
11107208,,
11112776,,
11116720,,4.55
11127488,,
11149707,0%,
11151590,,
11160126,100%,4.82
11170133,100%,4.73
11170606,100%,5.0
11170722,,
11170814,,
11171136,100%,
11230144,100%,4.94
11231202,100%,5.0
11236028,100%,4.56
11236627,100%,4.33
11237155,100%,4.62
11237610,100%,4.44
11237984,100%,4.54
11238709,100%,4.52
11248101,,
11262850,,
11263516,82%,4.58
11266653,100%,4.76
11269875,100%,4.79
11271241,100%,4.69
11281361,90%,5.0
11284776,,
11284781,100%,4.89
11284955,100%,4.91
11286562,0%,
11287758,88%,
11287949,90%,3.63
11288172,,
11315469,100%,4.83
11327512,100%,4.86
11328966,,
11334516,90%,4.0
11334536,90%,4.5
11337267,,4.67
11345361,100%,4.91
11355541,100%,4.29
11362504,100%,4.95
11362562,90%,4.46
11372216,100%,4.31
11384598,0%,5.0
11387357,0%,4.0
11387557,0%,
